,P_Surplus,Confidence,Signal,Volume_MWh,ID_Price_RON,Imb_Price_Pos,Imb_Price_Neg,PnL_RON,Cumulative_PnL_RON,Actual_Imb_Volume,Actual_Sign,Prediction_Correct
2024-07-01 00:00:00,0.520334744010395,0.04066948802079007,SELL,0.4066948802079007,518.32,-478.11,-63.28,236.53374232891505,236.53374232891505,44.0,1.0,True
2024-07-01 00:15:00,0.4241571208881134,0.15168575822377317,BUY,1.5168575822377317,388.76,1648.91,1648.91,1911.4680822568778,2148.0018245857927,-32.0,-1.0,True
2024-07-01 00:30:00,0.4329336797824216,0.13413264043515682,BUY,1.3413264043515682,395.43,1538.12,1538.12,1532.7202689884932,3680.722093574286,-44.0,-1.0,True
2024-07-01 00:45:00,0.4570663247426312,0.0858673505147376,BUY,0.858673505147376,426.39,1062.49,1062.49,546.2022166242458,4226.924310198532,-68.0,-1.0,True
2024-07-01 01:00:00,0.36868775006633664,0.2626244998673267,BUY,2.6262449986732674,430.02,1800.1,1800.1,3598.16574778227,7825.090057980802,-76.0,-1.0,True
2024-07-01 01:15:00,0.38906312286744194,0.22187375426511613,BUY,2.2187375426511613,421.06,1758.4,1758.4,2967.2064652891045,10792.296523269906,-60.0,-1.0,True
2024-07-01 01:30:00,0.4110267228179876,0.17794655436402484,BUY,1.7794655436402484,446.1,1760.98,1760.98,2339.78365402169,13132.080177291597,-96.0,-1.0,True
2024-07-01 01:45:00,0.499089806748454,0.0018203865030920197,NO_TRADE,0.0,447.99,1777.48,1777.48,0.0,13132.080177291597,-124.0,-1.0,False
2024-07-01 02:00:00,0.4699065525882776,0.06018689482344475,BUY,0.6018689482344475,403.59,1874.62,1874.62,885.3672789213192,14017.447456212916,-96.0,-1.0,True
2024-07-01 02:15:00,0.4494753908222551,0.10104921835548974,BUY,1.0104921835548974,425.54,1535.67,1535.67,1121.7776877297983,15139.225143942715,-44.0,-1.0,True
2024-07-01 02:30:00,0.39838058120668896,0.2032388375866221,BUY,2.032388375866221,492.09,1745.63,1745.63,2547.680124683343,17686.90526862606,-76.0,-1.0,True
2024-07-01 02:45:00,0.30416844678430166,0.3916631064313967,BUY,3.916631064313967,534.39,5323.75,5323.75,18758.15615418274,36445.061422808794,-32.0,-1.0,True
2024-07-01 03:00:00,0.30987764343111796,0.3802447131377641,BUY,3.802447131377641,423.55,0.94,0.94,-1606.952182191505,34838.10924061729,76.0,1.0,False
2024-07-01 03:15:00,0.2650544482260916,0.4698911035478168,BUY,4.698911035478169,492.28,1359.16,1359.16,4073.3919984353156,38911.5012390526,-20.0,-1.0,True
2024-07-01 03:30:00,0.2039374630342451,0.5921250739315098,BUY,5.921250739315099,558.43,1853.56,1853.56,7668.789470009165,46580.29070906177,-40.0,-1.0,True
2024-07-01 03:45:00,0.21580345355804997,0.5683930928839,BUY,5.6839309288390005,769.61,973.18,973.18,1157.077819183755,47737.36852824552,-132.0,-1.0,True
2024-07-01 04:00:00,0.31848987820764474,0.3630202435847105,BUY,3.6302024358471052,718.89,-1411.26,-1411.26,-7732.875718719712,40004.49280952581,36.0,1.0,False
2024-07-01 04:15:00,0.28285895578218045,0.4342820884356391,BUY,4.3428208843563905,707.44,2000.0,2000.0,5613.356562283696,45617.849371809505,-212.0,-1.0,True
2024-07-01 04:30:00,0.3015600710669566,0.3968798578660868,BUY,3.968798578660868,756.62,10000.0,10000.0,36685.11340602229,82302.9627778318,-424.0,-1.0,True
2024-07-01 04:45:00,0.49688793208974025,0.006224135820519505,NO_TRADE,0.0,757.27,1293.25,1293.25,0.0,82302.9627778318,-492.0,-1.0,False
2024-07-01 05:00:00,0.4193187286773869,0.1613625426452262,BUY,1.613625426452262,772.35,1174.39,1174.39,648.7419664508676,82951.70474428266,-412.0,-1.0,True
2024-07-01 05:15:00,0.489788018708142,0.020423962583716038,BUY,0.20423962583716038,574.76,1175.1,1175.1,122.61321697508085,83074.31796125774,-480.0,-1.0,True
2024-07-01 05:30:00,0.44582693914978977,0.10834612170042046,BUY,1.0834612170042046,688.63,1186.58,1186.58,539.5095130072436,83613.82747426498,-456.0,-1.0,True
2024-07-01 05:45:00,0.5350747701515329,0.07014954030306586,SELL,0.7014954030306586,608.6,1174.25,1174.25,-396.80087472429204,83217.0265995407,-448.0,-1.0,False
2024-07-01 06:00:00,0.17611947400085642,0.6477610519982872,BUY,6.477610519982871,1238.65,1163.42,1163.42,-487.31063941831155,82729.71596012238,-548.0,-1.0,True
2024-07-01 06:15:00,0.10730620413134434,0.7853875917373113,BUY,7.853875917373113,701.42,1148.88,1148.88,3514.2953179877745,86244.01127811016,-536.0,-1.0,True
2024-07-01 06:30:00,0.07763871913166596,0.844722561736668,BUY,8.44722561736668,559.38,1166.55,1166.55,5128.901978096526,91372.9132562067,-428.0,-1.0,True
2024-07-01 06:45:00,0.10485009902574152,0.790299801948517,BUY,7.90299801948517,357.51,1255.77,1255.77,7098.947000982749,98471.86025718944,-288.0,-1.0,True
2024-07-01 07:00:00,0.04588579674235361,0.9082284065152928,BUY,9.082284065152928,793.45,1015.96,1015.96,2020.8990273371778,100492.75928452662,-284.0,-1.0,True
2024-07-01 07:15:00,0.057013561015365935,0.8859728779692682,BUY,8.85972877969268,796.73,1017.96,1017.96,1960.037797931412,102452.79708245803,-176.0,-1.0,True
2024-07-01 07:30:00,0.0678969428188013,0.8642061143623974,BUY,8.642061143623973,454.76,1017.96,1017.96,4867.208836089022,107320.00591854705,-148.0,-1.0,True
2024-07-01 07:45:00,0.06680856084927651,0.866382878301447,BUY,8.66382878301447,430.32,7048.13,1015.02,57335.57275852099,164655.57867706803,-24.0,-1.0,True
2024-07-01 08:00:00,0.057393742120087764,0.8852125157598245,BUY,8.852125157598245,677.03,-535.68,795.24,-10735.060699870968,153920.51797719707,8.0,1.0,False
2024-07-01 08:15:00,0.05333157025019593,0.8933368594996082,BUY,8.933368594996082,465.66,1549.66,1549.66,9683.771556975753,163604.28953417283,-48.0,-1.0,True
2024-07-01 08:30:00,0.11447419017029566,0.7710516196594087,BUY,7.710516196594087,802.86,942.22,942.22,1074.537537157352,164678.8270713302,-36.0,-1.0,True
2024-07-01 08:45:00,0.09647366567250318,0.8070526686549937,BUY,8.070526686549936,354.77,970.31,970.31,4967.731996638948,169646.55906796915,-88.0,-1.0,True
2024-07-01 09:00:00,0.0944055758390937,0.8111888483218126,BUY,8.111888483218126,506.22,904.59,904.59,3231.5330150596046,172878.09208302875,-168.0,-1.0,True
